"full_name","born","died","born_country","born_country_code","died_country","died_country_code","gender","year","category","motivation","organization_name","organization_city","organization_country","winning_age","organization_name_standard"
"Masatoshi Koshiba","1926-09-19","2020-11-12","Japan","JP","Japan","JP","male",2002,"Physics","""for pioneering contributions to astrophysics in particular for the detection of cosmic neutrinos""","University of Tokyo","Tokyo","Japan",76,"University of Tokyo"
"Kurt Wüthrich","1938-10-04",NULL,"Switzerland","CH",NULL,NULL,"male",2002,"Chemistry","""for his development of nuclear magnetic resonance spectroscopy for determining the three-dimensional structure of biological macromolecules in solution""","Eidgenössische Technische Hochschule (Swiss Federal Institute of Technology)","Zurich","Switzerland",64,"Eidgenössische Technische Hochschule (Swiss Federal Institute of Technology)"
"Vernon L. Smith","1927-01-01",NULL,"USA","US",NULL,NULL,"male",2002,"Economics","""for having established laboratory experiments as a tool in empirical economic analysis especially in the study of alternative market mechanisms""","George Mason University","Fairfax VA","USA",75,"George Mason University"
"Henry Dunant","1828-05-08","1910-10-30","Switzerland","CH","Switzerland","CH","male",1901,"Peace","""for his humanitarian efforts to help wounded soldiers and create international understanding""",NULL,NULL,NULL,73,NULL
"Permanent International Peace Bureau",NULL,NULL,NULL,NULL,NULL,NULL,"org",1910,"Peace","""for acting as a link between the peace societies of the various countries and helping them to organize the world rallies of the international peace movement""",NULL,NULL,NULL,NULL,NULL
"International Committee of the Red Cross",NULL,NULL,NULL,NULL,NULL,NULL,"org",1944,"Peace","""for the great work it has performed during the war on behalf of humanity""",NULL,NULL,NULL,NULL,NULL
"Ludwig Quidde","1858-03-23","1941-03-04","Germany","DE","Switzerland","CH","male",1927,"Peace","""for their contribution to the emergence in France and Germany of a public opinion which favours peaceful international cooperation""",NULL,NULL,NULL,69,NULL
"Léon Jouhaux","1879-07-01","1954-04-28","France","FR","France","FR","male",1951,"Peace","""for having devoted his life to the fight against war through the promotion of social justice and brotherhood among men and nations""",NULL,NULL,NULL,72,NULL
"Giosuè Carducci","1835-07-27","1907-02-16","Tuscany (now Italy)","IT","Italy","IT","male",1906,"Literature","""not only in consideration of his deep learning and critical research but above all as a tribute to the creative energy freshness of style and lyrical force which characterize his poetic masterpieces""",NULL,NULL,NULL,71,NULL
"Gabriela Mistral","1889-04-07","1957-01-10","Chile","CL","USA","US","female",1945,"Literature","""for her lyric poetry which inspired by powerful emotions has made her name a symbol of the idealistic aspirations of the entire Latin American world""",NULL,NULL,NULL,56,NULL
"Shmuel Agnon","1888-07-17","1970-02-17","Austria-Hungary (now Ukraine)","UA","Israel","IL","male",1966,"Literature","""for his profoundly characteristic narrative art with motifs from the life of the Jewish people""",NULL,NULL,NULL,78,NULL
"Czeslaw Milosz","1911-06-30","2004-08-14","Russian Empire (now Lithuania)","LT","Poland","PL","male",1980,"Literature","""who with uncompromising clear-sightedness voices man's exposed condition in a world of severe conflicts""",NULL,NULL,NULL,69,NULL
"Gerard Debreu","1921-07-04","2004-12-31","France","FR","France","FR","male",1983,"Economics","""for having incorporated new analytical methods into economic theory and for his rigorous reformulation of the theory of general equilibrium""","University of California","Berkeley CA","USA",62,"University of California"
"Olga Tokarczuk","1962-01-29",NULL,"Poland","PL",NULL,NULL,"female",2018,"Literature","""for a narrative imagination that with encyclopedic passion represents the crossing of boundaries as a form of life""",NULL,NULL,NULL,56,NULL
"Arvid Carlsson","1923-01-25","2018-06-29","Sweden","SE","Sweden","SE","male",2000,"Medicine","""for their discoveries concerning signal transduction in the nervous system""","Göteborg University","Gothenburg","Sweden",77,"Göteborg University"
"Hendrik A. Lorentz","1853-07-18","1928-02-04","the Netherlands","NL","the Netherlands","NL","male",1902,"Physics","""in recognition of the extraordinary service they rendered by their researches into the influence of magnetism upon radiation phenomena""","Leiden University","Leiden","the Netherlands",49,"Leiden University"
"Lord Rayleigh","1842-11-12","1919-06-30","United Kingdom","GB","United Kingdom","GB","male",1904,"Physics","""for his investigations of the densities of the most important gases and for his discovery of argon in connection with these studies""","Royal Institution of Great Britain","London","United Kingdom",62,"Royal Institution of Great Britain"
"Guglielmo Marconi","1874-04-25","1937-07-20","Italy","IT","Italy","IT","male",1909,"Physics","""in recognition of their contributions to the development of wireless telegraphy""","Marconi Wireless Telegraph Co. Ltd.","London","United Kingdom",35,"Marconi Wireless Telegraph Co. Ltd."
"Gustaf Dalén","1869-11-30","1937-12-09","Sweden","SE","Sweden","SE","male",1912,"Physics","""for his invention of automatic regulators for use in conjunction with gas accumulators for illuminating lighthouses and buoys""","Swedish Gas-Accumulator Co.","Lidingö Stockholm","Sweden",43,"Swedish Gas-Accumulator Co."
"James Chadwick","1891-10-20","1974-07-24","United Kingdom","GB","United Kingdom","GB","male",1935,"Physics","""for the discovery of the neutron""","Liverpool University","Liverpool","United Kingdom",44,"Liverpool University"
"Enrico Fermi","1901-09-29","1954-11-28","Italy","IT","USA","US","male",1938,"Physics","""for his demonstrations of the existence of new radioactive elements produced by neutron irradiation and for his related discovery of nuclear reactions brought about by slow neutrons""","Rome University","Rome","Italy",37,"Rome University"
"Charles H. Townes","1915-07-28","2015-01-27","USA","US","USA","US","male",1964,"Physics","""for fundamental work in the field of quantum electronics which has led to the construction of oscillators and amplifiers based on the maser-laser principle""","Massachusetts Institute of Technology (MIT)","Cambridge MA","USA",49,"Massachusetts Institute of Technology (MIT)"
"Rosalyn Yalow","1921-07-19","2011-05-30","USA","US","USA","US","female",1977,"Medicine","""for the development of radioimmunoassays of peptide hormones""","Veterans Administration Hospital","Bronx NY","USA",56,"Veterans Administration Hospital"
"Hamilton O. Smith","1931-08-23",NULL,"USA","US",NULL,NULL,"male",1978,"Medicine","""for the discovery of restriction enzymes and their application to problems of molecular genetics""","Johns Hopkins University School of Medicine","Baltimore MD","USA",47,"Johns Hopkins University School of Medicine"
"E. M. Purcell","1912-08-30","1997-03-07","USA","US","USA","US","male",1952,"Physics","""for their development of new methods for nuclear magnetic precision measurements and discoveries in connection therewith""","Harvard University","Cambridge MA","USA",40,"Harvard University"
"Torsten N. Wiesel","1924-06-03",NULL,"Sweden","SE",NULL,NULL,"male",1981,"Medicine","""for their discoveries concerning information processing in the visual system""","Harvard Medical School","Boston MA","USA",57,"Harvard University"
"Yoshinori Ohsumi","1945-02-09",NULL,"Japan","JP",NULL,NULL,"male",2016,"Medicine","""for his discoveries of mechanisms for autophagy""","Tokyo Institute of Technology","Tokyo","Japan",71,"Tokyo Institute of Technology"
"Brian P. Schmidt","1967-02-24",NULL,"USA","US",NULL,NULL,"male",2011,"Physics","""for the discovery of the accelerating expansion of the Universe through observations of distant supernovae""","Australian National University","Weston Creek","Australia",44,"Australian National University"
"Serge Haroche","1944-09-11",NULL,"Morocco","MA",NULL,NULL,"male",2012,"Physics","""for ground-breaking experimental methods that enable measuring and manipulation of individual quantum systems""","Collège de France","Paris","France",68,"Collège de France"
"J. Michael Kosterlitz","1943-06-22",NULL,"United Kingdom","GB",NULL,NULL,"male",2016,"Physics","""for theoretical discoveries of topological phase transitions and topological phases of matter""","Brown University","Providence RI","USA",73,"Brown University"
"Barry C. Barish","1936-01-27",NULL,"USA","US",NULL,NULL,"male",2017,"Physics","""for decisive contributions to the LIGO detector and the observation of gravitational waves""","LIGO/VIRGO Collaboration",NULL,NULL,81,"LIGO/VIRGO Collaboration"
"Richard Henderson","1945-07-19",NULL,"Scotland","GB",NULL,NULL,"male",2017,"Chemistry","""for developing cryo-electron microscopy for the high-resolution structure determination of biomolecules in solution""","MRC Laboratory of Molecular Biology","Cambridge","United Kingdom",72,"MRC Laboratory of Molecular Biology"
"Kazuo Ishiguro","1954-11-08",NULL,"Japan","JP",NULL,NULL,"male",2017,"Literature","""who in novels of great emotional force has uncovered the abyss beneath our illusory sense of connection with the world""",NULL,NULL,NULL,63,NULL
"Joshua Angrist","1960-09-18",NULL,"USA","US",NULL,NULL,"male",2021,"Economics","""for their methodological contributions to the analysis of causal relationships""","Massachusetts Institute of Technology (MIT)","Cambridge MA","USA",61,"Massachusetts Institute of Technology (MIT)"
"Daniel Kahneman","1934-03-05",NULL,"British Mandate of Palestine (now Israel)","IL",NULL,NULL,"male",2002,"Economics","""for having integrated insights from psychological research into economic science especially concerning human judgment and decision-making under uncertainty""","Princeton University","Princeton NJ","USA",68,"Princeton University"
"José Ramos-Horta","1949-12-26",NULL,"East Timor","TL",NULL,NULL,"male",1996,"Peace","""for their work towards a just and peaceful solution to the conflict in East Timor""",NULL,NULL,NULL,47,NULL
"David Trimble","1944-10-15","2022-07-25","Northern Ireland","GB","Northern Ireland","GB","male",1998,"Peace","""for their efforts to find a peaceful solution to the conflict in Northern Ireland""",NULL,NULL,NULL,54,NULL
"George Bernard Shaw","1856-07-26","1950-11-02","Ireland","IE","United Kingdom","GB","male",1925,"Literature","""for his work which is marked by both idealism and humanity its stimulating satire often being infused with a singular poetic beauty""",NULL,NULL,NULL,69,NULL
"Erik Axel Karlfeldt","1864-07-20","1931-04-08","Sweden","SE","Sweden","SE","male",1931,"Literature","""The poetry of Erik Axel Karlfeldt""",NULL,NULL,NULL,67,NULL
"Albert Camus","1913-11-07","1960-01-04","French Algeria (now Algeria)","DZ","France","FR","male",1957,"Literature","""for his important literary production which with clear-sighted earnestness illuminates the problems of the human conscience in our times""",NULL,NULL,NULL,44,NULL
"Giorgos Seferis","1900-03-13","1971-09-20","Ottoman Empire (now Turkey)","TR","Greece","GR","male",1963,"Literature","""for his eminent lyrical writing inspired by a deep feeling for the Hellenic world of culture""",NULL,NULL,NULL,63,NULL
"Nadine Gordimer","1923-11-20","2014-07-13","South Africa","ZA","South Africa","ZA","female",1991,"Literature","""who through her magnificent epic writing has - in the words of Alfred Nobel - been of very great benefit to humanity""",NULL,NULL,NULL,68,NULL
"Heike Kamerlingh Onnes","1853-09-21","1926-02-21","the Netherlands","NL","the Netherlands","NL","male",1913,"Physics","""for his investigations on the properties of matter at low temperatures which led inter alia to the production of liquid helium""","Leiden University","Leiden","the Netherlands",60,"Leiden University"
